feature,coefficient,absolute_coefficient
categorical__pioglitazone_Steady,-0.19254725893029595,0.19254725893029595
categorical__admission_source_id_5,-0.1921636770925438,0.1921636770925438
categorical__gender_Female,-0.1848352849654156,0.1848352849654156
categorical__diag_1_group_Musculoskeletal,-0.17982456437810213,0.17982456437810213
categorical__change_Ch,-0.17940822670107368,0.17940822670107368
categorical__age_[20-30),0.17544072011028866,0.17544072011028866
categorical__medical_specialty_Surgery-Cardiovascular/Thoracic,-0.17044112200849124,0.17044112200849124
categorical__nateglinide_infrequent_sklearn,0.1693507510868831,0.1693507510868831
categorical__glipizide_Steady,-0.16932445888149603,0.16932445888149603
categorical__admission_type_id_2,0.16850772758396373,0.16850772758396373
categorical__diag_3_group_External_or_Supplementary,-0.16739236235707192,0.16739236235707192
categorical__glipizide_No,-0.1661358442643003,0.1661358442643003
categorical__admission_source_id_20,0.16463416066375763,0.16463416066375763
categorical__metformin_Steady,-0.15656059769724295,0.15656059769724295
categorical__admission_source_id_22,0.15628650456737397,0.15628650456737397
categorical__glipizide_Down,0.15539559337030395,0.15539559337030395
categorical__rosiglitazone_Up,-0.15083617440207528,0.15083617440207528
categorical__medical_specialty_Surgery-General,0.14968412966344105,0.14968412966344105
categorical__change_No,-0.14869197547070032,0.14869197547070032
categorical__glipizide_Up,-0.1480354925382596,0.1480354925382596
categorical__diag_2_group_Respiratory,-0.14645358215410265,0.14645358215410265
categorical__metformin_Down,0.14629733619960505,0.14629733619960505
categorical__a1_cresult_Norm,-0.14434153961409768,0.14434153961409768
categorical__gender_Male,-0.14326491728205087,0.14326491728205087
categorical__age_[50-60),-0.14250838298043422,0.14250838298043422
categorical__race_Other,-0.14152038309875095,0.14152038309875095
categorical__a1_cresult_>7,-0.13782441638762524,0.13782441638762524
categorical__diag_2_group_Musculoskeletal,-0.12884799835853852,0.12884799835853852
categorical__insulin_No,-0.1270115257343983,0.1270115257343983
categorical__diag_1_group_Digestive,-0.12699045149751997,0.12699045149751997
categorical__insulin_Steady,-0.12488442992320077,0.12488442992320077
categorical__metformin_rosiglitazone_No,0.11580681711891848,0.11580681711891848
numeric__had_prior_utilization,0.1149274936061092,0.1149274936061092
categorical__tolazamide_Steady,-0.11407714953051515,0.11407714953051515
categorical__medical_specialty_Obsterics&Gynecology-GynecologicOnco,0.11288619302095572,0.11288619302095572
categorical__admission_type_id_1,0.11099102553604849,0.11099102553604849
categorical__admission_source_id_9,-0.11097421931721495,0.11097421931721495
categorical__diag_1_group_Other,-0.10981688188795546,0.10981688188795546
categorical__diag_1_group_Injury,-0.10717714668695015,0.10717714668695015
categorical__admission_source_id_4,-0.10711946729710518,0.10711946729710518
categorical__diag_1_group_Neoplasm,-0.10425541312080057,0.10425541312080057
categorical__repaglinide_Steady,-0.10355024236906023,0.10355024236906023
categorical__medical_specialty_SurgicalSpecialty,-0.10234641992844289,0.10234641992844289
categorical__diag_2_group_Genitourinary,-0.10195714339651009,0.10195714339651009
categorical__medical_specialty_Pediatrics-Pulmonology,-0.10005881058574538,0.10005881058574538
numeric__service_utilization,0.100053170842336,0.100053170842336
categorical__repaglinide_No,-0.09942865726575711,0.09942865726575711
categorical__acarbose_infrequent_sklearn,0.09898837735800682,0.09898837735800682
