model,validation_f2,validation_roc_auc,validation_average_precision,decision_threshold,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1_score,test_roc_auc,test_average_precision,test_true_negative,test_false_positive,test_false_negative,test_true_positive
hist_gradient_boosting,0.43054682589566307,0.6694971140098495,0.2363376467192813,0.3852255379835115,0.48708914279961746,0.5973618507343217,0.1485324111022435,0.7401679186920017,0.24741506646971936,0.6577648563983822,0.21692653984246696,8002,9602,588,1675
logistic_regression,0.4278944178101063,0.6708453999690122,0.2222984771323643,0.38373256109344617,0.39079881210046813,0.5846168990235718,0.13881955659961825,0.8356164383561644,0.23808624488511174,0.6600273277786162,0.21689446709903962,5873,11731,372,1891
